   n, insertion_cmp, insertion_swaps, insertion_time, Mergesort_cmp, Mergesort_swaps, Mergesort_time, Bubblesort_cmp, Bubblesort_swaps, Bubblesort_time
 480,         56383,           55910,            167,         14247,            4288,            134,         173279,            50356,             415
 481,         56832,           56358,            168,         14280,            4298,            122,         173759,            50596,             486
 482,         57118,           56643,            158,         14333,            4308,             74,         174724,            50907,             275
 483,         57196,           56720,            110,         14373,            4318,             72,         175206,            50984,             277
 484,         57220,           56743,            130,         14362,            4328,             79,         176175,            51077,             329
 485,         57395,           56917,            133,         14403,            4338,             73,         176659,            51251,             281
 486,         57517,           57038,            119,         14456,            4348,             72,         177632,            51442,             278
 487,         57601,           57121,            129,         14514,            4358,             72,         178118,            51525,             278
 488,         57607,           57126,            111,         14517,            4368,             80,         179095,            51600,             317
 489,         57824,           57342,            112,         14562,            4378,             72,         179583,            51816,             281
 490,         57908,           57425,            147,         14578,            4388,            152,         180564,            51969,             313
 491,         58281,           57797,            120,         14647,            4398,             75,         181054,            52214,             297
 492,         58762,           58277,            135,         14643,            4408,             73,         182039,            52530,             282
 493,         59007,           58521,            205,         14674,            4418,            137,         182531,            52774,             415
 494,         59048,           58561,            144,         14721,            4428,            146,         183520,            52885,             406
 495,         59234,           58746,            144,         14767,            4438,            147,         184014,            53070,             388
 496,         59578,           59089,            183,         14779,            4448,            170,         185007,            53389,             466
 497,         59838,           59348,            175,         14818,            4458,            132,         185503,            53637,             446
 498,         60039,           59548,            175,         14854,            4468,            132,         186500,            53908,             429
 499,         60278,           59786,            171,         14892,            4478,            121,         186998,            54146,             440
 500,         60441,           59948,            183,         14934,            4488,            125,         187999,            54378,             464
 501,         60642,           60148,            218,         14977,            4498,            128,         188499,            54578,             451
 502,         61134,           60639,            176,         14962,            4508,            132,         189504,            54899,             637
 503,         61179,           60683,            173,         14998,            4518,            127,         190006,            54943,             672
 504,         61482,           60985,            186,         15094,            4528,            135,         191015,            55266,             490
 505,         61583,           61085,            194,         15124,            4538,            130,         191519,            55366,             508
 506,         61942,           61443,            169,         15160,            4548,            123,         192532,            55690,             446
 507,         62295,           61795,            185,         15162,            4558,            132,         193038,            55943,             471
 508,         62685,           62184,            187,         15186,            4568,            131,         194055,            56270,             465
 509,         63023,           62521,            203,         15218,            4578,            148,         194563,            56524,             445
 510,         63265,           62762,            191,         15256,            4588,            236,         195584,            56839,            1490
 511,         63291,           62787,            187,         15269,            4598,            195,         196094,            56864,             475
 512,         63644,           63139,            184,         15305,            4608,            124,         197119,            57194,             449
 513,         64116,           63610,            200,         15342,            4619,            139,         197631,            57450,             438
 514,         64133,           63626,            186,         15383,            4630,            108,         198660,            57540,             951
 515,         64411,           63903,            153,         15439,            4641,            133,         199174,            57797,             421
 516,         64865,           64356,            199,         15458,            4652,            152,         200207,            58129,             476
 517,         65286,           64776,            192,         15503,            4663,            154,         200723,            58387,             417
 518,         65525,           65014,            195,         15540,            4674,            166,         201760,            58698,             435
 519,         65633,           65121,            172,         15558,            4685,            139,         202278,            58805,             453
 520,         66017,           65504,            163,         15571,            4696,            182,         203319,            59137,             551
 521,         66514,           66000,            186,         15614,            4707,            134,         203839,            59397,             528
 522,         66648,           66133,            202,         15652,            4718,            134,         204884,            59602,             485
 523,         67065,           66549,            219,         15703,            4729,            138,         205406,            59863,             536
 524,         67150,           66633,            204,         15743,            4740,            152,         206455,            60018,             580
 525,         67218,           66700,            206,         15799,            4751,            141,         206979,            60085,             575
 526,         67512,           66993,            187,         15815,            4762,            121,         208032,            60419,            1084
 527,         67993,           67473,            216,         15856,            4773,            147,         208558,            60682,             470
 528,         68223,           67702,            189,         15885,            4784,            131,         209615,            60984,             496
 529,         68454,           67932,            205,         15929,            4795,            136,         210143,            61214,             627
